productId	productSKU	product_url	name	price	image	Category	Short Description	Description	tags	Features	Related Products	Size	Activity	Gender	Material	Color
188	MH09	https://gopher1.extrkt.com/?product=abominable-hoodie	Abominable Hoodie	£69.00	https://gopher1.extrkt.com/wp-content/uploads/2023/11/mh09-blue_main-300x300.jpg	Hoodies & Sweatshirts	This is a variable product called a Abominable Hoodie	It took CoolTech™ weather apparel know-how and lots of wind-resistant fabric to get the Abominable Hoodie just right. It’s aggressively warm when it needs to be, while maintaining your comfort in milder climes.	['Clothing', 'Men', 'Tops', 'Hoodies & Sweatshirts']	Blue heather hoodie. Relaxed fit.  Moisture-wicking.  Machine wash/dry.	[{'Name': 'Oslo Trek Hoodie', 'Price': '£42.00', 'Link': 'https://gopher1.extrkt.com/?product=oslo-trek-hoodie'}, {'Name': 'Mach Street Sweatshirt', 'Price': '£62.00', 'Link': 'https://gopher1.extrkt.com/?product=mach-street-sweatshirt'}, {'Name': 'Teton Pullover Hoodie', 'Price': '£70.00', 'Link': 'https://gopher1.extrkt.com/?product=teton-pullover-hoodie'}, {'Name': 'Ajax Full-Zip Sweatshirt', 'Price': '£69.00', 'Link': 'https://gopher1.extrkt.com/?product=ajax-full-zip-sweatshirt'}]	XS, S, M, L, XL	None	None	None	Blue, Green, Red
1814	WJ08	https://gopher1.extrkt.com/?product=adrienne-trek-jacket	Adrienne Trek Jacket	£57.00	https://gopher1.extrkt.com/wp-content/uploads/2023/11/wj08-gray_main-300x300.jpg	Erin Recommends|Clothing	This is a variable product called a Adrienne Trek Jacket	You’re ready for a cross-country jog or a coffee on the patio in the Adrienne Trek Jacket. Its style is unique with stand collar and drawstrings, and it fits like a jacket should.	['Clothing', 'Women', 'Tops', 'Jackets|Clothing', 'Promotions', 'Women Sale|Clothing', 'Collections', 'Erin Recommends|Clothing']	gray 1/4 zip pullover. Comfortable, relaxed fit. Front zip for venting. Spacious, kangaroo pockets. 27″ body length. 95% Organic Cotton / 5% Spandex.	None	XS, S, M, L, XL	None	None	None	Gray, Orange, Purple
1974	WP07	https://gopher1.extrkt.com/?product=aeon-capri	Aeon Capri	£48.00	https://gopher1.extrkt.com/wp-content/uploads/2023/11/wp07-black_main-300x300.jpg	Performance Fabrics|Clothing	This is a variable product called a Aeon Capri	Reach for the stars and beyond in these Aeon Capri pant. With a soft, comfortable feel and moisture wicking fabric, these duo-tone leggings are easy to wear — and wear attractively.	['Clothing', 'Women', 'Bottoms', 'Pants|Clothing', 'Promotions', 'Pants|Clothing', 'Collections', 'Performance Fabrics|Clothing']	Black capris with teal accents. Thick, 3″ flattering waistband. Media pocket on inner waistband. Dry wick finish for ultimate comfort and dryness.	[{'Name': 'Deirdre Relaxed-Fit Capri', 'Price': '£63.00', 'Link': 'https://gopher1.extrkt.com/?product=deirdre-relaxed-fit-capri'}, {'Name': 'Karmen Yoga Pant', 'Price': '£39.00', 'Link': 'https://gopher1.extrkt.com/?product=karmen-yoga-pant'}, {'Name': 'Emma Leggings', 'Price': '£42.00', 'Link': 'https://gopher1.extrkt.com/?product=emma-leggings'}]	28, 29	None	None	None	Black, Blue, Orange
739	MS01	https://gopher1.extrkt.com/?product=aero-daily-fitness-tee	Aero Daily Fitness Tee	£24.00	https://gopher1.extrkt.com/wp-content/uploads/2023/11/ms01-blue_main-300x300.jpg	Tees	This is a variable product called a Aero Daily Fitness Tee	Need an everyday action tee that helps keep you dry? The Aero Daily Fitness Tee is made of 100% polyester wicking knit that funnels moisture away from your skin. Don’t be fooled by its classic style; this tee hides premium performance technology beneath its unassuming look.	['Clothing', 'Men', 'Tops', 'Tees']	Relaxed fit. Short-Sleeve. Machine wash/dry.	[{'Name': 'Deion Long-Sleeve EverCool™ Tee', 'Price': '£39.00', 'Link': 'https://gopher1.extrkt.com/?product=deion-long-sleeve-evercool-tee'}, {'Name': 'Logan  HeatTec® Tee', 'Price': '£24.00', 'Link': 'https://gopher1.extrkt.com/?product=logan-heattec-tee'}, {'Name': 'Strike Endurance Tee', 'Price': '£39.00', 'Link': 'https://gopher1.extrkt.com/?product=strike-endurance-tee'}, {'Name': 'Ryker LumaTech™ Tee (V-neck)', 'Price': '£28.00', 'Link': 'https://gopher1.extrkt.com/?product=ryker-lumatech-tee-v-neck'}]	XS, S, M, L, XL	None	None	None	Black, Brown, Yellow
702	MP11	https://gopher1.extrkt.com/?product=aether-gym-pant	Aether Gym Pant	£74.00	https://gopher1.extrkt.com/wp-content/uploads/2023/11/mp11-brown_main-300x300.jpg	Erin Recommends|Clothing	This is a variable product called a Aether Gym Pant 	The Aether Gym Pant is built for the studio, but adapts perfectly well to outdoor and gym environs too. With lightweight stretch fabric and water-repellent exterior, the Aether is ready for all comers.	['Clothing', 'Men', 'Bottoms', 'Pants|Clothing', 'Promotions', 'Pants|Clothing', 'Collections', 'Erin Recommends|Clothing']	Pants/shorts convertible. Lightweight moisture wicking.  Water repellent. Belted waist.	[{'Name': 'Orestes Yoga Pant', 'Price': '£66.00', 'Link': 'https://gopher1.extrkt.com/?product=orestes-yoga-pant'}]	32, 33, 34, 36	None	None	None	Blue, Brown, Green
2711	24-UG06	https://gopher1.extrkt.com/?product=affirm-water-bottle	Affirm Water Bottle	£7.00	https://gopher1.extrkt.com/wp-content/uploads/2023/11/ug06-lb-0-300x300.jpg	Fitness Equipment	This is a simple product called Affirm Water Bottle 	You’ll stay hydrated with ease with the Affirm Water Bottle by your side or in hand. Measurements on the outside help you keep track of how much you’re drinking, while the screw-top lid prevents spills. A metal carabiner clip allows you to attach it to the outside of a backpack or bag for easy access.	['Gear', 'Fitness Equipment']	Made of plastic.Grooved sides for an easy grip.	[{'Name': 'Sprite Stasis Ball 55 cm', 'Price': '£23.00', 'Link': 'https://gopher1.extrkt.com/?product=sprite-stasis-ball-55-cm-3'}, {'Name': 'Sprite Stasis Ball 75 cm', 'Price': '£32.00', 'Link': 'https://gopher1.extrkt.com/?product=sprite-stasis-ball-75-cm-3'}, {'Name': 'Pursuit Lumaflex™ Tone Band', 'Price': '£16.00', 'Link': 'https://gopher1.extrkt.com/?product=pursuit-lumaflex-tone-band'}, {'Name': 'Sprite Stasis Ball 65 cm', 'Price': '£27.00', 'Link': 'https://gopher1.extrkt.com/?product=sprite-stasis-ball-65-cm-3'}]	None	Yoga, Recreation, Sports, Gym	Men, Women, Boys, Girls, Unisex	Plastic	None
2684	24-MG04	https://gopher1.extrkt.com/?product=aim-analog-watch	Aim Analog Watch	£45.00	https://gopher1.extrkt.com/wp-content/uploads/2023/11/mg04-bk-0-300x300.jpg	Watches	This is a simple product called Aim Analog Watch	Stay light-years ahead of the competition with our Aim Analog Watch. The flexible, rubberized strap is contoured to conform to the shape of your wrist for a comfortable all-day fit. The face features three illuminated hands, a digital read-out of the current time, and stopwatch functions.	['Gear', 'Watches']	Japanese quartz movement.Strap fits 7″ to 8.0″.	[{'Name': 'Bolo Sport Watch', 'Price': '£49.00', 'Link': 'https://gopher1.extrkt.com/?product=bolo-sport-watch'}, {'Name': 'Luma Analog Watch', 'Price': '£43.00', 'Link': 'https://gopher1.extrkt.com/?product=luma-analog-watch'}, {'Name': 'Clamber Watch', 'Price': '£54.00', 'Link': 'https://gopher1.extrkt.com/?product=clamber-watch'}, {'Name': 'Endurance Watch', 'Price': '£49.00', 'Link': 'https://gopher1.extrkt.com/?product=endurance-watch'}]	None	Recreation, Sports, Outdoor, Gym	Men	Plastic, Rubber	None
251	MH12	https://gopher1.extrkt.com/?product=ajax-full-zip-sweatshirt	Ajax Full-Zip Sweatshirt	£69.00	https://gopher1.extrkt.com/wp-content/uploads/2023/11/mh12-green_main-300x300.jpg	Hoodies & Sweatshirts	This is a variable product called a Ajax Full-Zip Sweatshirt 	The Ajax Full-Zip Sweatshirt makes the optimal layering or outer piece for archers, golfers, hikers and virtually any other sportsmen. Not only does it have top-notch moisture-wicking abilities, but the tight-weave fabric also prevents pilling from repeated wash-and-wear cycles.	['Clothing', 'Men', 'Tops', 'Hoodies & Sweatshirts']	Mint striped full zip hoodie. 100% bonded polyester fleece. Pouch pocket. Rib cuffs and hem.  Machine washable.	[{'Name': 'Stark Fundamental Hoodie', 'Price': '£42.00', 'Link': 'https://gopher1.extrkt.com/?product=stark-fundamental-hoodie'}, {'Name': 'Oslo Trek Hoodie', 'Price': '£42.00', 'Link': 'https://gopher1.extrkt.com/?product=oslo-trek-hoodie'}, {'Name': 'Mach Street Sweatshirt', 'Price': '£62.00', 'Link': 'https://gopher1.extrkt.com/?product=mach-street-sweatshirt'}, {'Name': 'Grayson Crewneck Sweatshirt', 'Price': '£64.00', 'Link': 'https://gopher1.extrkt.com/?product=grayson-crewneck-sweatshirt'}]	XS, S, M, L, XL	None	None	None	Blue, Green, Red
2459	WSH10	https://gopher1.extrkt.com/?product=ana-running-short	Ana Running Short	£40.00	https://gopher1.extrkt.com/wp-content/uploads/2023/11/wsh10-black_main-300x300.jpg	Eco Friendly|Clothing	This is a variable product called a Ana Running Short	Time to lace up your kicks and beat that personal best in the Ana Running Short. It’s designed with breathable mesh side panels to help keep you cool while you master the miles.	['Clothing', 'Women', 'Bottoms', 'Shorts|Clothing', 'Collections', 'Eco Friendly|Clothing']	Black/pink two-layer shorts. Low-rise elastic waistband. Relaxed fit.  Ultra-lightweight fabric.  Internal drawstring.  Machine wash/dry.	None	28, 29, 30, 31, 32	None	None	None	Black, Orange, White
2418	WSH06	https://gopher1.extrkt.com/?product=angel-light-running-short	Angel Light Running Short	£42.00	https://gopher1.extrkt.com/wp-content/uploads/2023/11/wsh06-gray_main-300x300.jpg	Shorts	This is a variable product called a Angel Light Running Short	The Angel Light Running Short offers comfort in an ultra-lightweight, breathable package. With fabric infused with all-natural Cocona® performance technology, it can whisk away sweat and block UV rays.	['Clothing', 'Women', 'Bottoms', 'Shorts']	Dark heather gray running shorts. Snug fit.  Elastic waistband.  Cocona® performance fabric.  Machine wash/dry.	[{'Name': 'Artemis Running Short', 'Price': '£45.00', 'Link': 'https://gopher1.extrkt.com/?product=artemis-running-short'}, {'Name': 'Mimi All-Purpose Short', 'Price': '£44.00', 'Link': 'https://gopher1.extrkt.com/?product=mimi-all-purpose-short'}]	28, 29, 30, 31, 32	None	None	None	Gray, Orange, Purple
